player_id,name,email,password,coins,active_ship_id
14,Allen76,Allen76@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,24,2
15,Alena74,Alena74@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,35,1
16,Tillman.Hirthe64,Tillman.Hirthe64@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,79,2
17,Liliane64,Liliane64@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,97,2
18,Jasmin79,Jasmin79@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,27,2
19,Dixie26,Dixie26@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,97,2
20,Selena_Ratke,Selena_Ratke@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,25,3
21,Jackeline_Lemke53,Jackeline_Lemke53@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,11,3
22,Nathanael.Walter38,Nathanael.Walter38@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,77,3
23,Nya_Hudson,Nya_Hudson@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,81,2
24,Cecil_Schaden,Cecil_Schaden@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,31,2
25,Cornell_Gulgowski84,Cornell_Gulgowski84@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,99,2
26,Margaretta.Swift83,Margaretta.Swift83@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,86,1
27,Rashawn.Turner,Rashawn.Turner@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,77,1
28,Archibald_Boyer,Archibald_Boyer@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,23,2
29,Sandy.Franecki,Sandy.Franecki@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,84,3
30,Claire.Daniel,Claire.Daniel@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,38,2
31,Clementina.Bahringer,Clementina.Bahringer@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,100,3
32,Enrique42,Enrique42@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,71,1
33,Modesta_Rolfson54,Modesta_Rolfson54@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,71,1
34,Gabrielle_Klein,Gabrielle_Klein@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,18,2
35,Willow8,Willow8@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,54,3
36,Kaela44,Kaela44@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,4,2
37,Keara76,Keara76@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,33,3
38,Mabelle.Sanford55,Mabelle.Sanford55@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,61,2
39,Zane.Farrell,Zane.Farrell@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,30,1
40,Minnie44,Minnie44@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,33,3
41,Arne_Gaylord0,Arne_Gaylord0@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,68,3
42,Valerie_Zieme,Valerie_Zieme@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,0,1
43,Annalise_OKeefe61,Annalise_OKeefe61@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,71,2
44,Adah.Hansen0,Adah.Hansen0@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,5,3
45,Berniece19,Berniece19@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,6,3
46,Nelson81,Nelson81@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,26,1
47,Alayna99,Alayna99@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,72,2
48,Estefania.Blanda94,Estefania.Blanda94@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,63,3
49,Raphaelle6,Raphaelle6@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,76,3
50,Viva_Lang64,Viva_Lang64@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,13,2
51,Makayla.Wolf,Makayla.Wolf@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,9,1
52,Merl57,Merl57@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,37,3
53,Myles82,Myles82@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,39,1
54,Jairo25,Jairo25@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,32,3
55,Leila_Sanford38,Leila_Sanford38@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,61,3
56,Liza.Kling,Liza.Kling@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,55,1
57,Domingo.Sipes20,Domingo.Sipes20@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,73,3
58,Hipolito.Rippin93,Hipolito.Rippin93@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,77,1
59,Zaria_Dietrich91,Zaria_Dietrich91@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,93,1
60,Aliyah49,Aliyah49@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,8,3
61,Antonina91,Antonina91@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,1,2
62,Dulce60,Dulce60@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,10,1
63,Diego20,Diego20@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,91,1
64,Adrian.Nicolas,Adrian.Nicolas@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,57,1
65,Aniya21,Aniya21@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,28,1
66,Dayne47,Dayne47@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,24,2
67,Antoinette_Boyle,Antoinette_Boyle@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,7,1
68,Catherine4,Catherine4@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,2,1
69,Easton_Jones,Easton_Jones@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,70,2
70,Emiliano.Torp90,Emiliano.Torp90@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,43,3
71,Barry_Fay,Barry_Fay@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,2,1
72,Brando_Franecki34,Brando_Franecki34@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,80,3
73,Sigurd.Satterfield21,Sigurd.Satterfield21@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,10,3
74,Vena.Stamm35,Vena.Stamm35@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,8,1
75,Colt.Trantow,Colt.Trantow@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,11,3
76,Lawrence99,Lawrence99@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,1,2
77,Augustus.Bogan66,Augustus.Bogan66@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,12,1
78,Danika61,Danika61@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,50,3
79,Danny42,Danny42@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,7,1
80,Arch_Littel,Arch_Littel@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,51,1
81,Demario.Graham,Demario.Graham@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,59,1
82,Jarret.Nikolaus,Jarret.Nikolaus@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,32,3
83,Maynard_Keeling57,Maynard_Keeling57@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,12,1
84,Godfrey.Armstrong,Godfrey.Armstrong@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,15,1
85,Giles.Senger,Giles.Senger@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,99,1
86,Kelton_Lueilwitz,Kelton_Lueilwitz@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,5,2
87,Rashad_McLaughlin,Rashad_McLaughlin@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,99,3
88,Gus.Lindgren,Gus.Lindgren@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,80,2
89,Ethyl.Luettgen12,Ethyl.Luettgen12@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,63,3
90,Kenneth.Toy15,Kenneth.Toy15@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,56,2
91,Filiberto73,Filiberto73@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,51,1
92,Katelynn.Swaniawski25,Katelynn.Swaniawski25@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,32,1
93,Clifton62,Clifton62@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,99,2
94,Tom.Gerhold88,Tom.Gerhold88@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,19,2
95,Kylee.Torphy,Kylee.Torphy@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,76,2
96,Shea15,Shea15@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,33,2
97,Malvina_Okuneva,Malvina_Okuneva@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,48,1
98,Asia_OConner29,Asia_OConner29@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,87,1
99,Wendy_Sipes57,Wendy_Sipes57@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,60,2
100,Owen.Kertzmann87,Owen.Kertzmann87@mail.es,$2b$10$anBiPt4J.1edDUiM.XtKc.r3/5FlXdH0jX3tDLWF/LNaDCqH774Oy,1,3
